"trainer/global_step","baseline-cnn - _step","baseline-cnn - _step__MIN","baseline-cnn - _step__MAX","baseline-cnn - train_loss_epoch","baseline-cnn - train_loss_epoch__MIN","baseline-cnn - train_loss_epoch__MAX"
"749","16","16","16","0.481078177690506","0.481078177690506","0.481078177690506"
"1499","33","33","33","0.31012430787086487","0.31012430787086487","0.31012430787086487"
"2249","50","50","50","0.2614057660102844","0.2614057660102844","0.2614057660102844"
"2999","67","67","67","0.22995653748512268","0.22995653748512268","0.22995653748512268"
"3749","84","84","84","0.20346154272556305","0.20346154272556305","0.20346154272556305"
"4499","101","101","101","0.1843482404947281","0.1843482404947281","0.1843482404947281"
"5249","118","118","118","0.16353067755699158","0.16353067755699158","0.16353067755699158"
"5999","135","135","135","0.1410415917634964","0.1410415917634964","0.1410415917634964"
"6749","152","152","152","0.12353398650884628","0.12353398650884628","0.12353398650884628"
"7499","169","169","169","0.10768921673297882","0.10768921673297882","0.10768921673297882"
